iter	Passed	Remaining
465	736	844
466	737	842
467	738	839
468	739	837
469	740	834
470	741	832
471	742	830
472	744	828
473	745	827
474	746	825
475	747	822
476	748	820
477	749	818
478	749	815
479	750	813
480	751	811
481	752	808
482	753	806
483	754	804
484	755	802
485	756	800
486	757	797
487	759	796
488	760	794
489	761	792
490	761	789
491	762	787
492	763	785
493	764	783
494	765	781
495	766	778
496	767	776
497	768	774
498	768	772
499	769	769
500	770	767
501	771	765
502	772	763
503	774	762
504	775	760
505	776	758
506	777	756
507	778	753
508	779	751
509	780	749
510	781	747
511	781	745
512	782	743
513	783	741
514	784	738
515	785	736
516	786	734
517	787	732
518	788	730
519	789	729
520	791	727
521	792	725
522	793	723
523	794	721
524	795	719
525	796	717
526	797	715
527	798	713
528	799	711
529	800	709
530	801	708
531	803	706
532	804	704
533	806	703
534	807	701
535	808	699
536	809	697
537	810	695
538	811	693
539	812	691
540	812	689
541	813	687
542	814	685
543	815	683
544	816	682
545	818	680
546	819	679
547	820	677
548	821	675
549	822	673
550	823	671
551	824	669
552	825	667
553	826	665
554	827	663
555	828	661
556	829	659
557	829	657
558	830	655
559	831	653
560	832	651
561	834	650
562	835	648
563	836	646
564	837	644
565	837	642
566	839	640
567	839	638
568	840	636
569	841	634
570	842	633
571	843	631
572	844	629
573	845	627
574	846	625
575	847	623
576	848	621
577	849	620
578	850	618
579	851	616
580	852	614
581	852	612
582	853	610
583	854	608
584	855	606
585	856	604
586	856	602
587	857	601
588	858	599
589	859	597
590	860	595
591	861	593
592	862	591
593	863	590
594	864	588
595	865	586
596	866	584
597	866	582
598	867	580
599	868	579
600	869	577
601	870	575
602	871	573
603	871	571
604	872	569
605	873	567
606	874	566
607	875	564
608	877	563
609	878	561
610	879	559
611	880	558
612	881	556
613	882	554
614	883	552
615	884	551
616	885	549
617	886	548
618	888	546
619	889	545
620	894	545
621	895	544
622	896	542
623	897	541
624	898	539
625	900	537
626	901	536
627	903	535
628	904	533
629	905	532
630	907	530
631	908	528
632	909	527
633	910	525
634	911	524
635	913	522
636	914	521
637	915	519
638	917	518
639	918	516
640	920	515
641	922	514
642	924	513
643	925	511
644	926	509
645	927	508
646	928	506
647	929	504
648	930	503
649	931	501
650	932	500
651	933	498
652	935	497
653	936	495
654	937	494
655	939	492
656	941	491
657	943	490
658	944	488
659	945	487
660	946	485
661	947	483
662	949	482
663	950	480
664	951	479
665	953	477
666	954	476
667	955	474
668	956	473
669	957	471
670	958	469
671	959	468
672	959	466
673	960	464
674	961	463
675	962	461
676	964	460
677	965	458
678	967	457
679	971	457
680	974	456
681	976	455
682	977	453
683	978	452
684	980	450
685	984	450
686	985	448
687	986	447
688	987	445
689	988	444
690	990	442
691	991	441
692	992	439
693	993	437
694	994	436
695	996	435
696	998	434
697	999	432
698	1002	431
699	1004	430
700	1005	428
701	1006	427
702	1007	425
703	1012	425
704	1014	424
705	1016	423
706	1021	423
707	1023	421
708	1025	420
709	1030	421
710	1032	419
711	1036	419
712	1038	417
713	1044	418
714	1050	418
715	1051	417
716	1053	415
717	1061	416
718	1063	415
719	1067	415
720	1069	413
721	1071	412
722	1073	411
723	1078	411
724	1079	409
725	1080	407
726	1082	406
727	1083	404
728	1086	404
729	1088	402
730	1092	402
731	1097	401
732	1098	400
733	1100	398
734	1104	398
735	1108	397
736	1111	396
737	1113	395
738	1116	394
739	1119	393
740	1124	393
741	1126	391
742	1127	389
743	1128	388
744	1131	387
745	1134	386
746	1139	386
747	1141	384
748	1142	383
749	1144	381
750	1150	381
751	1153	380
752	1154	378
753	1155	377
754	1157	375
755	1158	373
756	1159	372
757	1161	370
758	1163	369
759	1166	368
760	1168	366
761	1169	365
762	1172	364
763	1173	362
764	1175	361
765	1178	359
766	1181	358
767	1183	357
768	1184	355
769	1185	354
770	1186	352
771	1188	350
772	1195	351
773	1197	349
774	1198	348
775	1200	346
776	1201	344
777	1202	343
778	1203	341
779	1206	340
780	1209	339
781	1213	338
782	1214	336
783	1216	335
784	1217	333
785	1218	331
786	1219	329
787	1221	328
788	1228	328
789	1229	326
790	1231	325
791	1232	323
792	1233	322
793	1236	320
794	1241	320
795	1243	318
796	1244	317
797	1246	315
798	1247	313
799	1248	312
800	1252	311
801	1254	309
802	1257	308
803	1259	306
804	1261	305
805	1262	303
806	1263	302
807	1265	300
808	1267	299
809	1271	298
810	1272	296
811	1273	294
812	1274	293
813	1275	291
814	1276	289
815	1277	288
816	1279	286
817	1281	285
818	1285	284
819	1286	282
820	1288	280
821	1289	279
822	1290	277
823	1291	275
824	1292	274
825	1293	272
826	1295	271
827	1298	269
828	1300	268
829	1301	266
830	1303	264
831	1304	263
832	1305	261
833	1306	260
834	1307	258
835	1309	256
836	1312	255
837	1315	254
838	1316	252
839	1317	250
840	1318	249
841	1319	247
842	1320	245
843	1321	244
844	1322	242
845	1323	240
846	1324	239
847	1327	237
848	1329	236
849	1330	234
850	1331	233
851	1332	231
852	1333	229
853	1335	228
854	1337	226
855	1343	226
856	1346	224
857	1347	223
858	1348	221
859	1349	219
860	1350	218
861	1351	216
862	1353	214
863	1356	213
864	1358	212
865	1359	210
866	1360	208
867	1362	207
868	1363	205
869	1364	203
870	1365	202
871	1366	200
872	1370	199
873	1372	197
874	1374	196
875	1376	194
876	1377	193
877	1378	191
878	1380	189
879	1381	188
880	1382	186
881	1384	185
882	1388	183
883	1389	182
884	1390	180
885	1391	179
886	1393	177
887	1394	175
888	1396	174
889	1399	172
890	1402	171
891	1403	169
892	1404	168
893	1405	166
894	1406	165
895	1408	163
896	1409	161
897	1410	160
898	1412	158
899	1414	157
900	1417	155
901	1418	154
902	1419	152
903	1421	150
904	1422	149
905	1423	147
906	1424	146
907	1426	144
908	1429	143
909	1430	141
910	1432	139
911	1434	138
912	1435	136
913	1437	135
914	1438	133
915	1439	131
916	1440	130
917	1441	128
918	1447	127
919	1448	125
920	1449	124
921	1450	122
922	1451	121
923	1452	119
924	1453	117
925	1454	116
926	1457	114
927	1458	113
928	1459	111
929	1460	109
930	1461	108
931	1463	106
932	1464	105
933	1465	103
934	1466	101
935	1467	100
936	1468	98
937	1469	97
938	1470	95
939	1471	93
940	1472	92
941	1473	90
942	1474	89
943	1475	87
944	1476	85
945	1477	84
946	1478	82
947	1479	81
948	1480	79
949	1481	77
950	1482	76
951	1483	74
952	1484	73
953	1486	71
954	1488	70
955	1489	68
956	1490	66
957	1491	65
958	1492	63
959	1493	62
960	1494	60
961	1495	59
962	1496	57
963	1497	55
964	1499	54
965	1500	52
966	1504	51
967	1505	49
968	1506	48
969	1507	46
970	1508	45
971	1510	43
972	1511	41
973	1513	40
974	1515	38
975	1520	37
976	1521	35
977	1522	34
978	1523	32
979	1524	31
980	1525	29
981	1526	27
982	1528	26
983	1529	24
984	1530	23
985	1532	21
986	1533	20
987	1534	18
988	1536	17
989	1537	15
990	1538	13
991	1539	12
992	1540	10
993	1541	9
994	1543	7
995	1544	6
996	1545	4
997	1546	3
998	1547	1
999	1548	0
